episode,market,symbol,name,entry_at_utc,exit_at_utc,sell_legs,realized_pnl_usd
1,"NYSE","AMCR","Amcor PLC","2026-08-20T17:14:51.82942+00:00","2026-08-21T13:40:08.007864+00:00",1,348.497060
2,"NYSE","CNC","Centene Corp","2026-08-21T13:57:29.482742+00:00","2026-08-21T14:02:33.24693+00:00",1,163.204951
3,"NYSE","KLAR","Klarna Group plc","2026-08-21T13:55:27.989924+00:00","2026-08-21T14:10:06.008265+00:00",2,208.438153
4,"NYSE","BEKE","Ke Holdings Inc","2026-08-21T14:13:32.614562+00:00","2026-08-21T14:13:47.475423+00:00",1,-125.442528
5,"NYSE","CNC","Centene Corp","2026-08-21T14:11:49.666494+00:00","2026-08-21T14:25:16.525904+00:00",1,-172.413580
6,"NYSE","KLAR","Klarna Group plc","2026-08-21T14:20:10.531967+00:00","2026-08-21T14:38:14.820573+00:00",1,-87.591791
7,"NYSE","PHYS","Sprott Physical Gold Trust","2026-08-21T13:55:27.44565+00:00","2026-08-21T14:38:17.984596+00:00",2,-66.133617
8,"NASDAQ","WDAY","Workday Inc","2026-08-21T14:34:59.107163+00:00","2026-08-21T14:54:21.817896+00:00",1,199.585956
9,"NASDAQ","BRUN","Boost Run Inc. Class A Common Stock","2026-08-21T14:46:38.615667+00:00","2026-08-21T14:55:40.649488+00:00",1,-163.876211
10,"NASDAQ","ETOR","eToro Group Ltd.","2026-08-21T14:53:44.999641+00:00","2026-08-21T15:16:13.87499+00:00",1,-223.734527
11,"NYSE","BBD","Banco Bradesco SA ADR","2026-08-21T14:39:49.204036+00:00","2026-08-21T15:37:17.772232+00:00",1,196.649778
12,"NASDAQ","UTHR","United Therapeutics Corporation","2026-08-21T15:35:01.682153+00:00","2026-08-21T15:38:06.338579+00:00",1,-147.365265
13,"NYSE","ANF","Abercrombie & Fitch Company","2026-08-21T15:15:12.557736+00:00","2026-08-21T15:41:09.654867+00:00",1,-67.198423
14,"NASDAQ","TMUS","T-Mobile US Inc","2026-08-21T15:17:01.823386+00:00","2026-08-21T15:41:10.456597+00:00",1,-70.728312
15,"NYSE","BVN","Compania de Minas Buenaventura SAA ADR","2026-08-21T15:15:19.329876+00:00","2026-08-21T15:41:11.064544+00:00",1,-48.567050
16,"NASDAQ","CCEP","Coca-Cola European Partners PLC","2026-08-21T15:34:55.599334+00:00","2026-08-21T15:45:30.592531+00:00",1,-26.753739
17,"NYSE","ICE","Intercontinental Exchange Inc","2026-08-21T15:35:04.564747+00:00","2026-08-21T15:46:45.605804+00:00",1,-79.721609
18,"NYSE","PBR","Petroleo Brasileiro Petrobras SA ADR","2026-08-21T15:34:50.924464+00:00","2026-08-21T15:46:46.7305+00:00",1,-67.674054
19,"NYSE","AIG","American International Group Inc","2026-08-21T15:35:03.783719+00:00","2026-08-21T15:46:47.425969+00:00",1,-48.214028
